span,height,brace,sec_col,sec_beam,sec_brace,udl_w,wind_P,shipping_limit,drift,max_abs_M,volume,carbon,ok,reason
10.191648388447707,4.0360745391321835,0,9,0,7,-4623.290608449402,9804.978813094047,12.0,5.123115590754135,59606.47798896422,0.17833585811382796,53.50075743414839,True,
10.089117615922824,5.2512250684693385,1,1,9,4,-3516.8079030696754,9414.119910788813,12.0,0.0006581430466715118,16565.227761079514,0.4798753291378235,143.96259874134705,True,
9.150920960645315,5.379665646447905,1,4,4,2,-2781.660851936661,2510.5380488334026,12.0,0.00030424240324722715,14898.744673263787,0.36364199831006544,109.09259949301963,True,
10.621049375940657,4.710825396927227,0,8,7,3,-1117.2079024203867,9144.968970577582,12.0,0.3122426591132458,27327.32366967713,0.3613177776342806,108.39533329028417,True,
10.227067976590096,3.1812354774818865,0,5,5,0,-4382.842031729809,7464.391625939637,12.0,0.19645207110990143,43501.60929781605,0.23225354504175416,69.67606351252626,True,
9.958097247262536,5.886284063519735,0,3,9,4,-3121.7767548967686,3515.770872674286,12.0,0.3145143354568283,22293.938507463463,0.2820299873319244,84.60899619957732,True,
5.039372042683773,4.164967241790768,0,2,6,7,-3251.392324510677,8661.425568462699,12.0,0.5060580111276778,19946.13628345295,0.14801036374484192,44.40310912345257,True,
9.641323029010682,5.2325516085768875,1,5,5,6,-4440.81200748937,2916.2405882877874,12.0,0.00016052497774865827,30264.95747290233,0.6720119170283277,201.60357510849832,True,
8.456257218730226,5.243643731872448,1,7,4,4,-1743.9184613358616,3335.783359261631,12.0,0.0002590281498655502,9256.580626843526,0.5327747083733121,159.83241251199362,True,
4.181696585070884,2.815167512714746,1,7,7,5,-4354.912883865592,6008.358200826908,12.0,0.00016857174509953384,4784.696889361045,0.3530880867857348,105.92642603572044,True,
