width,depth,nx,ny,max_height,min_height,heightfield,topology,support_layout,A,gravity_load,ok,reason,max_displacement,max_vertical_disp,max_tension,max_compression,total_length,volume,n_length_bins,max_member_length,min_member_length,n_nodes,n_bars,n_supports,score,is_pareto
12.191648388447707,7.633270638512314,5,6,3.7434200726484095,1.2231134891366282,ridge,triangulated,edges,0.0012372536721893884,-48557.42778892185,False,unstable: Unstable or ill-conditioned system (cond=3.07e+17). Check supports/bracing. Need cond < 1e+12.,,,,,,,,,,,,,inf,False
7.024909061404367,7.702315627373403,5,4,4.316912472121505,2.8576933104355433,paraboloid,triangulated,edges,0.0008877556187100644,-70910.45112860893,True,,0.0007990255139713288,0.0007972311996572478,805.95267145248,8270.69784598577,132.10344081759345,0.11727557183675102,12.0,2.590432991547693,1.404981812280874,30.0,69.0,18.0,0.48937328187429363,False
10.43667829612668,5.382903536625052,7,6,3.579160997805162,2.6838985249196705,ridge,diagrid,edges,0.0014677678268343935,-44275.15514711209,False,unstable: Unstable or ill-conditioned system (cond=8.06e+17). Check supports/bracing. Need cond < 1e+12.,,,,,,,,,,,,,inf,False
12.227067976590096,6.167832247111805,4,4,2.109509414468072,1.1386381303954423,ridge,triangulated,edges,0.001219238371498599,-41299.6107026316,False,unstable: Unstable or ill-conditioned system (cond=1.49e+17). Check supports/bracing. Need cond < 1e+12.,,,,,,,,,,,,,inf,False
8.606602865105216,7.222758236209213,3,4,2.473678397710714,1.1593241136963006,ridge,diagrid,edges,0.0006496002839559726,-53207.440212699585,False,unstable: Unstable or ill-conditioned system (cond=3.66e+17). Check supports/bracing. Need cond < 1e+12.,,,,,,,,,,,,,inf,False
9.497215350978646,9.996069176347024,6,5,2.7809166034551027,2.250740788684144,paraboloid,triangulated,edges,0.0008262262169331919,-68466.87584279024,True,,0.011994977870812894,0.011986102450325442,2882.900655370303,23112.841365399498,203.8393445304893,0.16841741049356768,4.0,2.569586322641773,1.5831432451199652,42.0,101.0,22.0,0.5185773243962123,False
11.459964031799803,5.838514901655859,7,3,2.018405674377514,1.6425749884685397,saddle,diagrid,edges,0.0011756819164889687,-48770.83875912128,True,,0.00521750555029742,0.005206907646850952,0.0,15014.768659059222,141.6399272988814,0.16652350117810713,4.0,2.556349805373452,1.6371377188285425,32.0,62.0,20.0,0.39668323559866536,False
9.67132620430672,8.412447175717363,3,3,2.2863251838399337,1.706964910254809,ridge,diagrid,edges,0.0010217597171293077,-49400.04570335898,True,,0.0065069006498255704,0.006496036506744395,0.0,19579.570222823444,113.39114180129717,0.11585850097186262,5.0,4.2901236882037095,2.8041490585724542,16.0,30.0,12.0,0.33490651191787557,False
11.077746560004726,8.321476403947976,3,5,2.7598752451565307,1.0457302062921072,paraboloid,diagrid,edges,0.0006360431401014822,-63658.854251014556,True,,0.001209144712480167,0.0011811150177985534,0.0,5788.24649750243,163.0179734194655,0.10368646370669674,10.0,4.257006928691097,1.6642952807895952,24.0,46.0,16.0,0.39290984595625855,False
12.827224586145329,6.4036369151920445,7,3,2.703459730054991,1.4207532532392904,paraboloid,diagrid,edges,0.0010127353675754062,-48644.07163574346,True,,0.0003462998961502792,0.0003415296721973074,0.0,3466.178510925775,158.99782313570176,0.1610227188570244,13.0,2.948906434079579,1.8324606551636187,32.0,62.0,20.0,0.6207117079822363,False
11.314508322619101,7.438321168640423,5,6,2.41743229976926,1.0267023361358039,flat,grid,edges,0.0011945952856560955,-61524.91078994451,False,unstable: Unstable or ill-conditioned system (cond=inf). Check supports/bracing. Need cond < 1e+12.,,,,,,,,,,,,,inf,False
7.290174232268814,8.006268650620182,7,3,3.74080093769434,2.0559273570489633,flat,diagrid,edges,0.0007316632980626642,-54788.69627524447,False,unstable: Unstable or ill-conditioned system (cond=inf). Check supports/bracing. Need cond < 1e+12.,,,,,,,,,,,,,inf,False
8.894500884427124,5.525899515896606,4,3,4.404744161373786,3.693278252570558,paraboloid,triangulated,edges,0.0006924569576054716,-41232.94490609104,True,,0.0016266310927640535,0.0016199708475083357,818.3545197860052,10333.874840007613,98.48727113596074,0.06819819613367252,7.0,2.945716660432693,1.8419665052988687,20.0,43.0,14.0,0.2090656007951467,False
12.230007231726358,9.301341134953974,6,4,2.6806039046128975,1.1361564284127585,paraboloid,triangulated,edges,0.0009013539188169723,-71905.4654081908,True,,0.0016625778369420228,0.0016625778369420228,416.4980104893442,10051.48930075869,203.3707564004283,0.18330902825429765,10.0,3.25244842919484,2.0401396481488523,35.0,82.0,20.0,0.5890822170606664,False
8.447652993205221,8.475317413651375,5,3,4.141535710230938,3.0687726179128836,paraboloid,triangulated,edges,0.0008753023437526142,-54907.64637190227,True,,0.0016498345307904112,0.0016427672331168512,1111.334204326936,9104.78980009567,135.31890800483558,0.11844495733067696,9.0,3.392380819497311,1.6895305986410438,24.0,53.0,16.0,0.3997358082005634,False
10.672783751301886,8.89907960932892,6,3,3.039518505426524,1.0722241725252406,flat,diagrid,edges,0.000762847333566064,-74219.03244535813,False,unstable: Unstable or ill-conditioned system (cond=inf). Check supports/bracing. Need cond < 1e+12.,,,,,,,,,,,,,inf,False
6.827223741780413,8.525867433066272,6,3,4.312800295941993,2.674339450033835,paraboloid,diagrid,edges,0.0010500070406295585,-79087.8451588121,True,,0.0004789211349673253,0.000458317459652764,0.0,5092.148542832345,144.3605401810836,0.1515795835792239,12.0,3.282032751504357,1.1415056795478302,28.0,54.0,18.0,0.5649608340987966,False
