span,height,brace,sec_col,sec_beam,sec_brace,udl_w,wind_P,shipping_limit,drift,max_abs_M,volume,carbon,ok,reason,predicted_drift
5.50811831408006,2.9307720770226404,1,7,10,9,-4315.584245299615,3491.145676430702,12.0,9.581524956848361e-05,8537.004730372093,0.4677035834454661,140.31107503363984,True,,0.00015254451298150535
6.340406650595505,3.4966272724123,1,8,6,6,-2269.8935347456118,3587.598619035436,12.0,0.00011291771737061127,6121.513866000258,0.4685323017976578,140.55969053929735,True,,0.00015981811669982428
4.77538312611716,3.679517910627392,1,7,7,7,-4136.454494663655,3716.08990352261,12.0,9.545018170547749e-05,6341.50328942546,0.522535809450743,156.76074283522289,True,,0.00015982475287793866
5.560335937821367,3.6579350267882598,1,4,10,7,-3376.8347649722855,3933.083615921877,12.0,9.798446488013428e-05,6052.277941897122,0.4866392114584831,145.99176343754493,True,,0.00016232873519615224
5.636839096218253,3.369520447748293,1,3,6,5,-3466.6733323448752,3448.720969627417,12.0,0.00012084327747413997,6387.524747528856,0.34419374933481717,103.25812480044515,True,,0.0001637279876034808
6.184467041104454,4.209765067463435,1,4,7,9,-3170.3329200723,3344.6139689842357,12.0,0.00011390845471893463,7241.3585011152545,0.4908494670763377,147.2548401229013,True,,0.0001638852445952443
4.541946662113983,3.9814974471023916,1,5,5,6,-3822.5286974218225,3518.244450177259,12.0,0.00012812136483158977,5542.037446788475,0.39009318592245734,117.0279557767372,True,,0.00016403455222966303
5.6638245143374455,2.979146462387418,1,3,9,5,-2844.0164775877583,3946.9119864121003,12.0,0.00012843515410979872,4989.327122757339,0.3330322430695686,99.90967292087058,True,,0.00016603341468332463
8.338514625547626,4.43281329873985,1,9,9,10,-2513.8205229579685,3914.524078282913,12.0,0.00014008940609589149,12750.699959030471,0.7141951270621577,214.25853811864732,True,,0.0001712560032590877
7.988271530199804,3.912231171534669,1,3,4,6,-1994.3008954218672,3486.2033470068495,12.0,0.00013702209967864128,8681.757909565067,0.4725670635207073,141.7701190562122,True,,0.00017487430622570996
5.190046495891053,2.639043151895305,1,3,7,8,-1444.0598644696279,3866.647755335418,12.0,0.00011101563373465912,2009.1964362471042,0.3221090710675488,96.63272132026465,True,,0.00017728746338528973
6.6797038556450845,3.419221771123609,1,8,8,6,-3351.253995786924,4201.99892110791,12.0,0.0001459098743408479,10821.537275758343,0.4563952896769974,136.91858690309923,True,,0.00017925507648887195
5.331701596406409,3.796574620531174,1,10,4,9,-3020.684282276741,3850.41327825234,12.0,0.0001366052437168148,6533.21254655548,0.45460726760320397,136.3821802809612,True,,0.00017959920088378973
4.5370448159663805,2.559664083688506,1,6,9,9,-4332.741939714851,4034.777092174991,12.0,9.354884059718822e-05,6070.711892571329,0.3573340044852374,107.20020134557122,True,,0.00018134194946047602
5.663207784111156,4.012825270525406,1,4,8,9,-2999.5712465335982,4201.492761867732,12.0,0.0001505768545815984,6985.955256646283,0.41305437485959523,123.91631245787858,True,,0.0001826861060303201
5.76777583221984,4.060525021301935,1,8,8,6,-2898.6649344446714,4469.223985427425,12.0,0.00016062751883943766,6773.2773041030705,0.4455563365865265,133.66690097595796,True,,0.00018330077034296656
6.448437352843163,3.027157222431865,1,6,4,7,-2771.371496830971,4220.741107338361,12.0,0.00012541836502458288,8678.619102366076,0.48515049627875684,145.54514888362706,True,,0.00018379832281284874
5.929281515779261,3.9457080324197262,1,7,7,10,-2380.670754772267,4323.3854352931885,12.0,0.00012036034142333529,5862.814921654369,0.6062038584194476,181.86115752583427,True,,0.00018514384570647834
5.8674667193620715,3.3160905789932587,1,8,10,9,-2726.2075501453055,4618.386297304725,12.0,0.00012877040426976293,5153.944400583247,0.4595213125607618,137.85639376822854,True,,0.00018514643004368002
4.178608562119517,2.6301237314421257,1,5,8,8,-2171.094348172789,5079.116041036656,12.0,0.0001452879039628136,2539.6517126478743,0.2703923230770011,81.11769692310034,True,,0.00018598876960844787
